judul,pengarang,klasifikasi,status,genre_utama,subgenre,genre,content,image_url
Akibat-Akibat Fatal Meremehkan Shalat Taubat,Rizem Aizid,297.412.29,Penyiangan 2025-2,agama,umum,agama umum,akibatakibat fatal meremehkan shalat taubat rizem aizid agama umum,/images/no_cover.png
Panduan Senam Stroke,Soeparman,613.7,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan senam stroke soeparman teknologi umum,/images/panduan_senam_stroke.png
Biografi Ummul Mukminin Aisyah,Shadiq Ahmad Abdurrahman Barir,297.9131,Penyiangan 2025-2,agama,umum,agama umum,biografi ummul mukminin aisyah shadiq ahmad abdurrahman barir agama umum,/images/no_cover.png
110 Tokoh Dengan Ide Gila Yang Mendunia,"Ihsan Fauzi, S.Si",1,Penyiangan 2025-2,umum,umum,umum umum, tokoh dengan ide gila yang mendunia ihsan fauzi ssi umum umum,/images/no_cover.png
Accidentally Engaged,Mary Carter,FIK,Penyiangan 2025-2,umum,umum,umum umum,accidentally engaged mary carter umum umum,/images/accidentally_engaged.jpg
Ekspresi Lisan,Purwadi,819.501,Penyiangan 2025-2,sastra,umum,sastra umum,ekspresi lisan purwadi sastra umum,/images/no_cover.png
ULAR Makhluk Meliuk Yaang Menarik,Rina Novia,FIK,Penyiangan 2025-2,umum,umum,umum umum,ular makhluk meliuk yaang menarik rina novia umum umum,/images/no_cover.png
I'm Jasmine,Lia Adriansyah,FIK,Penyiangan 2025-2,umum,umum,umum umum,im jasmine lia adriansyah umum umum,/images/no_cover.png
Rahasia 5 Shalat Sunnah Terdashyat,Saiful Hadi El-Sutha,297.412.2,Penyiangan 2025-2,agama,umum,agama umum,rahasia  shalat sunnah terdashyat saiful hadi elsutha agama umum,/images/no_cover.png
H2 Buku 32,"Mitsuru, Adachi",FIK,Penyiangan 2025-2,umum,umum,umum umum,h buku  mitsuru adachi umum umum,/images/no_cover.png
unlucky loser,erry santy,fik,Penyiangan 2025-2,umum,umum,umum umum,unlucky loser erry santy umum umum,/images/no_cover.png
UNTA Si Kapal Padang Pasir,Melvi Dwi Dezka Putri,FIK,Penyiangan 2025-2,umum,umum,umum umum,unta si kapal padang pasir melvi dwi dezka putri umum umum,/images/unta_si_kapal_padang_pasir.png
Orang Sibuk Pun Bisa Hafal Al-quran,Abdul Muhsin,297.17,Penyiangan 2025-2,agama,umum,agama umum,orang sibuk pun bisa hafal alquran abdul muhsin agama umum,/images/no_cover.png
Sikat Habis Soal-Soal Tes CPNS,Moh. Mahtub,1,Penyiangan 2025-2,umum,umum,umum umum,sikat habis soalsoal tes cpns moh mahtub umum umum,/images/no_cover.png
Orang Sibuk Pun Bisa Hafal Al-quran,Abdul Muhsin,297.17,Penyiangan 2025-2,agama,umum,agama umum,orang sibuk pun bisa hafal alquran abdul muhsin agama umum,/images/no_cover.png
Sikat Habis Soal-Soal Tes CPNS,Moh. Mahtub,1,Penyiangan 2025-2,umum,umum,umum umum,sikat habis soalsoal tes cpns moh mahtub umum umum,/images/no_cover.png
The Best & The Excellent Entrepreneur in The World,Fery Muhammad,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,the best  the excellent entrepreneur in the world fery muhammad sejarah umum,/images/no_cover.png
Keajaiban Doa dan Sedekah,Khalid bin Sulaiman Ar-rabii,297.541,Penyiangan 2025-2,agama,umum,agama umum,keajaiban doa dan sedekah khalid bin sulaiman arrabii agama umum,/images/no_cover.png
Spiritualitas Kematian meraih hidup indah dan husnul khatimah,Komaruddin Hidayat,297.351,Penyiangan 2025-2,agama,umum,agama umum,spiritualitas kematian meraih hidup indah dan husnul khatimah komaruddin hidayat agama umum,/images/no_cover.png
"Kultum Ringkas Sehari-hari Adab, Panduan dan Doa",M. Amri Abu Syatir,297.4124,Penyiangan 2025-2,agama,umum,agama umum,kultum ringkas seharihari adab panduan dan doa m amri abu syatir agama umum,/images/no_cover.png
Simple Thinking about Blood Type,Achie Linda,741.5,Penyiangan 2025-2,umum,umum,umum umum,simple thinking about blood type achie linda umum umum,/images/no_cover.png
Tasawuf Kultural : Fenomena Shalawat Wahidiyah,Sokhi Huda,297.52,Penyiangan 2025-2,agama,umum,agama umum,tasawuf kultural  fenomena shalawat wahidiyah sokhi huda agama umum,/images/no_cover.png
Pendekar Sendang Drajat Misteri Gajah Mada Islam,Viddy Ad Daery,398,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,pendekar sendang drajat misteri gajah mada islam viddy ad daery sosial politik umum,/images/no_cover.png
Pendekar Sendang Drajat Misteri Gajah Mada Islam,Viddy Ad Daery,398,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,pendekar sendang drajat misteri gajah mada islam viddy ad daery sosial politik umum,/images/no_cover.png
Kebanggaan Yang Hilang,Tias Tatanka,FIK,Penyiangan 2025-2,umum,umum,umum umum,kebanggaan yang hilang tias tatanka umum umum,/images/no_cover.png
Kebanggaan Yang Hilang,Tias Tatanka,FIK,Penyiangan 2025-2,umum,umum,umum umum,kebanggaan yang hilang tias tatanka umum umum,/images/no_cover.png
Lautan Hakikat Syekh Abdul Qadir Al-Jilani,Syekh Abdul Qadir Al-Jilani,297.98,Penyiangan 2025-2,agama,umum,agama umum,lautan hakikat syekh abdul qadir aljilani syekh abdul qadir aljilani agama umum,/images/no_cover.png
3D Alam Liar : Hewan-Hewan Purba,"Regan,Lisa",567.9,Penyiangan 2025-2,sains,umum,sains umum,d alam liar  hewanhewan purba reganlisa sains umum,/images/no_cover.png
3D ALam Liar : Naga,"Starke, John",567.9,Penyiangan 2025-2,sains,umum,sains umum,d alam liar  naga starke john sains umum,/images/no_cover.png
Kumpulan Cerita Anak Kreatif Tales for Creative Children,Watiek Ideo,398.2,Penyiangan 2025-2,sosial politik,anak,sosial politik anak,kumpulan cerita anak kreatif tales for creative children watiek ideo sosial politik anak,/images/no_cover.png
Jus Ajaib Penumpas Aneka Penyakit,Rusilanti,641.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,jus ajaib penumpas aneka penyakit rusilanti teknologi umum,/images/no_cover.png
Jus Ajaib Penumpas Aneka Penyakit,Rusilanti,641.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,jus ajaib penumpas aneka penyakit rusilanti teknologi umum,/images/no_cover.png
Jus Ajaib Penumpas Aneka Penyakit,Rusilanti,641.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,jus ajaib penumpas aneka penyakit rusilanti teknologi umum,/images/no_cover.png
Kumpulan Cerita Anak Kreatif Tales for Creative Children,Watiek Ideo,398.2,Penyiangan 2025-2,sosial politik,anak,sosial politik anak,kumpulan cerita anak kreatif tales for creative children watiek ideo sosial politik anak,/images/no_cover.png
Jus Ajaib Penumpas Aneka Penyakit,Rusilanti,641.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,jus ajaib penumpas aneka penyakit rusilanti teknologi umum,/images/no_cover.png
Merry Riana : Langkah Sejuta Suluh,Clara Ng,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,merry riana  langkah sejuta suluh clara ng sejarah umum,/images/no_cover.png
Bulan Terbelah di Langit Amerika,Hanum Salsabiela Rais,910.4,Penyiangan 2025-2,sejarah,umum,sejarah umum,bulan terbelah di langit amerika hanum salsabiela rais sejarah umum,/images/no_cover.png
Unstoppable : Kuasa Menakjubkan Tindakan Iman,"Vujicic, Nick",927.9,Penyiangan 2025-2,sejarah,umum,sejarah umum,unstoppable  kuasa menakjubkan tindakan iman vujicic nick sejarah umum,/images/no_cover.png
#sharing,Handry Satriago,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,sharing handry satriago sejarah umum,/images/no_cover.png
Ayam Kampung Petelur,Bambang Krista,636.514 2,Penyiangan 2025-2,teknologi,umum,teknologi umum,ayam kampung petelur bambang krista teknologi umum,/images/ayam_kampung_petelur.png
"Pleci : Menguak Rahasia Para Plecimania Mencetak Pleci Jago ""Ngalas Ngerol""",Istono Yuwono,598.7,Penyiangan 2025-2,sains,umum,sains umum,pleci  menguak rahasia para plecimania mencetak pleci jago ngalas ngerol istono yuwono sains umum,/images/no_cover.png
Incomplete,Shandy Aulia,927.9,Penyiangan 2025-2,sejarah,umum,sejarah umum,incomplete shandy aulia sejarah umum,/images/no_cover.png
Jago Bisnis & Beternak Ayam Kampung,Bambang Krista,636.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,jago bisnis  beternak ayam kampung bambang krista teknologi umum,/images/no_cover.png
Masakan Ikan : Menu Favorit Keluarga Nusantara,Widya Rahayu,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,masakan ikan  menu favorit keluarga nusantara widya rahayu teknologi umum,/images/no_cover.png
The Miracle of Herbs,Prapti Utami,582.12,Penyiangan 2025-2,sains,umum,sains umum,the miracle of herbs prapti utami sains umum,/images/no_cover.png
Budi Daya Ikan Mas di Kolam Hemat Air,Yadi Supriatna,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya ikan mas di kolam hemat air yadi supriatna teknologi umum,/images/no_cover.png
Seimbangkan Dunia dan Akhiratmu,Haviva A.B,297.51,Penyiangan 2025-2,agama,umum,agama umum,seimbangkan dunia dan akhiratmu haviva ab agama umum,/images/no_cover.png
Kisah Inspiratif Orang-Orang Top Dunia,Kaefa Mirzani,920,Penyiangan 2025-2,sejarah,umum,sejarah umum,kisah inspiratif orangorang top dunia kaefa mirzani sejarah umum,/images/no_cover.png
Merry Riana : Langkah Sejuta Suluh,Clara Ng,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,merry riana  langkah sejuta suluh clara ng sejarah umum,/images/no_cover.png
365 Pesan Kebangsaan JK,Gufron Hidayat,923.2,Penyiangan 2025-2,sejarah,umum,sejarah umum, pesan kebangsaan jk gufron hidayat sejarah umum,/images/no_cover.png
Unstoppable : Kuasa Menakjubkan Tindakan Iman,"Vujicic, Nick",927.9,Penyiangan 2025-2,sejarah,umum,sejarah umum,unstoppable  kuasa menakjubkan tindakan iman vujicic nick sejarah umum,/images/no_cover.png
#sharing,Handry Satriago,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,sharing handry satriago sejarah umum,/images/no_cover.png
Ayam Kampung Petelur,Bambang Krista,636.514 2,Penyiangan 2025-2,teknologi,umum,teknologi umum,ayam kampung petelur bambang krista teknologi umum,/images/ayam_kampung_petelur.png
"Pleci : Menguak Rahasia Para Plecimania Mencetak Pleci Jago ""Ngalas Ngerol""",Istono Yuwono,598.7,Penyiangan 2025-2,sains,umum,sains umum,pleci  menguak rahasia para plecimania mencetak pleci jago ngalas ngerol istono yuwono sains umum,/images/no_cover.png
Incomplete,Shandy Aulia,927.9,Penyiangan 2025-2,sejarah,umum,sejarah umum,incomplete shandy aulia sejarah umum,/images/no_cover.png
Jago Bisnis & Beternak Ayam Kampung,Bambang Krista,636.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,jago bisnis  beternak ayam kampung bambang krista teknologi umum,/images/no_cover.png
Masakan Ikan : Menu Favorit Keluarga Nusantara,Widya Rahayu,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,masakan ikan  menu favorit keluarga nusantara widya rahayu teknologi umum,/images/no_cover.png
The Miracle of Herbs,Prapti Utami,582.12,Penyiangan 2025-2,sains,umum,sains umum,the miracle of herbs prapti utami sains umum,/images/no_cover.png
Budi Daya Ikan Mas di Kolam Hemat Air,Yadi Supriatna,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya ikan mas di kolam hemat air yadi supriatna teknologi umum,/images/no_cover.png
Seimbangkan Dunia dan Akhiratmu,Haviva A.B,297.51,Penyiangan 2025-2,agama,umum,agama umum,seimbangkan dunia dan akhiratmu haviva ab agama umum,/images/no_cover.png
Kisah Inspiratif Orang-Orang Top Dunia,Kaefa Mirzani,920,Penyiangan 2025-2,sejarah,umum,sejarah umum,kisah inspiratif orangorang top dunia kaefa mirzani sejarah umum,/images/no_cover.png
Merry Riana : Langkah Sejuta Suluh,Clara Ng,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,merry riana  langkah sejuta suluh clara ng sejarah umum,/images/no_cover.png
365 Pesan Kebangsaan JK,Gufron Hidayat,923.2,Penyiangan 2025-2,sejarah,umum,sejarah umum, pesan kebangsaan jk gufron hidayat sejarah umum,/images/no_cover.png
Unstoppable : Kuasa Menakjubkan Tindakan Iman,"Vujicic, Nick",927.9,Penyiangan 2025-2,sejarah,umum,sejarah umum,unstoppable  kuasa menakjubkan tindakan iman vujicic nick sejarah umum,/images/no_cover.png
#sharing,Handry Satriago,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,sharing handry satriago sejarah umum,/images/no_cover.png
Ayam Kampung Petelur,Bambang Krista,636.514 2,Penyiangan 2025-2,teknologi,umum,teknologi umum,ayam kampung petelur bambang krista teknologi umum,/images/ayam_kampung_petelur.png
"Pleci : Menguak Rahasia Para Plecimania Mencetak Pleci Jago ""Ngalas Ngerol""",Istono Yuwono,598.7,Penyiangan 2025-2,sains,umum,sains umum,pleci  menguak rahasia para plecimania mencetak pleci jago ngalas ngerol istono yuwono sains umum,/images/no_cover.png
Incomplete,Shandy Aulia,927.9,Penyiangan 2025-2,sejarah,umum,sejarah umum,incomplete shandy aulia sejarah umum,/images/no_cover.png
Jago Bisnis & Beternak Ayam Kampung,Bambang Krista,636.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,jago bisnis  beternak ayam kampung bambang krista teknologi umum,/images/no_cover.png
Masakan Ikan : Menu Favorit Keluarga Nusantara,Widya Rahayu,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,masakan ikan  menu favorit keluarga nusantara widya rahayu teknologi umum,/images/no_cover.png
The Miracle of Herbs,Prapti Utami,582.12,Penyiangan 2025-2,sains,umum,sains umum,the miracle of herbs prapti utami sains umum,/images/no_cover.png
Budi Daya Ikan Mas di Kolam Hemat Air,Yadi Supriatna,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya ikan mas di kolam hemat air yadi supriatna teknologi umum,/images/no_cover.png
Seimbangkan Dunia dan Akhiratmu,Haviva A.B,297.51,Penyiangan 2025-2,agama,umum,agama umum,seimbangkan dunia dan akhiratmu haviva ab agama umum,/images/no_cover.png
Merry Riana : Langkah Sejuta Suluh,Clara Ng,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,merry riana  langkah sejuta suluh clara ng sejarah umum,/images/no_cover.png
Bulan Terbelah di Langit Amerika,Hanum Salsabiela Rais,910.4,Penyiangan 2025-2,sejarah,umum,sejarah umum,bulan terbelah di langit amerika hanum salsabiela rais sejarah umum,/images/no_cover.png
Unstoppable : Kuasa Menakjubkan Tindakan Iman,"Vujicic, Nick",927.9,Penyiangan 2025-2,sejarah,umum,sejarah umum,unstoppable  kuasa menakjubkan tindakan iman vujicic nick sejarah umum,/images/no_cover.png
#sharing,Handry Satriago,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,sharing handry satriago sejarah umum,/images/no_cover.png
Ayam Kampung Petelur,Bambang Krista,636.514 2,Penyiangan 2025-2,teknologi,umum,teknologi umum,ayam kampung petelur bambang krista teknologi umum,/images/ayam_kampung_petelur.png
"Pleci : Menguak Rahasia Para Plecimania Mencetak Pleci Jago ""Ngalas Ngerol""",Istono Yuwono,598.7,Penyiangan 2025-2,sains,umum,sains umum,pleci  menguak rahasia para plecimania mencetak pleci jago ngalas ngerol istono yuwono sains umum,/images/no_cover.png
Incomplete,Shandy Aulia,927.9,Penyiangan 2025-2,sejarah,umum,sejarah umum,incomplete shandy aulia sejarah umum,/images/no_cover.png
Jago Bisnis & Beternak Ayam Kampung,Bambang Krista,636.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,jago bisnis  beternak ayam kampung bambang krista teknologi umum,/images/no_cover.png
Masakan Ikan : Menu Favorit Keluarga Nusantara,Widya Rahayu,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,masakan ikan  menu favorit keluarga nusantara widya rahayu teknologi umum,/images/no_cover.png
The Miracle of Herbs,Prapti Utami,582.12,Penyiangan 2025-2,sains,umum,sains umum,the miracle of herbs prapti utami sains umum,/images/no_cover.png
Budi Daya Ikan Mas di Kolam Hemat Air,Yadi Supriatna,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya ikan mas di kolam hemat air yadi supriatna teknologi umum,/images/no_cover.png
Seimbangkan Dunia dan Akhiratmu,Haviva A.B,297.51,Penyiangan 2025-2,agama,umum,agama umum,seimbangkan dunia dan akhiratmu haviva ab agama umum,/images/no_cover.png
Habibie : Menikmati 50 Gagasan Brilian Sembari Mengenang Momen Kehidupan Eyang,Fachmy Casofa,923.1,Penyiangan 2025-2,sejarah,umum,sejarah umum,habibie  menikmati  gagasan brilian sembari mengenang momen kehidupan eyang fachmy casofa sejarah umum,/images/no_cover.png
Seni Keterampilan Bubur Kertas,Suhendri Abu Faqih,745.5,Penyiangan 2025-2,umum,umum,umum umum,seni keterampilan bubur kertas suhendri abu faqih umum umum,/images/no_cover.png
Bisnis Ikan Konsumsi di Lahan Sempit,Cahyo Saparinto,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,bisnis ikan konsumsi di lahan sempit cahyo saparinto teknologi umum,/images/no_cover.png
Kumpulan Dongeng Asli Nusantara Terbaik Seluruh Provinsi,mahadewa Adi Seta,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,kumpulan dongeng asli nusantara terbaik seluruh provinsi mahadewa adi seta sosial politik umum,/images/no_cover.png
Sejarah ISIS & Illuminati,Ahmad Yanuana Samantho,320.956,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,sejarah isis  illuminati ahmad yanuana samantho sosial politik umum,/images/no_cover.png
Aksesories flower Fill Populer,Lina Purnawanti,746,Penyiangan 2025-2,umum,umum,umum umum,aksesories flower fill populer lina purnawanti umum umum,/images/no_cover.png
Perlengkapan Bayi Imut & Lucu,Lina Purnawanti,745.5,Penyiangan 2025-2,umum,umum,umum umum,perlengkapan bayi imut  lucu lina purnawanti umum umum,/images/no_cover.png
Panduan Lengkap Budi Daya & Bisnis Cacing Sutra,Ratih Setyawati,639.7,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan lengkap budi daya  bisnis cacing sutra ratih setyawati teknologi umum,/images/no_cover.png
Panduan Lengkap Budi Daya Ikan dan Sayuran dengan Sistem Akuaponik,Cahyo Saparinto,639.3,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan lengkap budi daya ikan dan sayuran dengan sistem akuaponik cahyo saparinto teknologi umum,/images/no_cover.png
Jahe,Cahyo Saparinto,633.8,Penyiangan 2025-2,teknologi,umum,teknologi umum,jahe cahyo saparinto teknologi umum,/images/no_cover.png
Babad Tanah Jawi,"Olthof,W.L",959.801,Penyiangan 2025-2,sejarah,umum,sejarah umum,babad tanah jawi olthofwl sejarah umum,/images/no_cover.png
99 Cahaya di Langit Eropa Part 2,Guntur Soeharjanto,741.5,Penyiangan 2025-2,umum,umum,umum umum, cahaya di langit eropa part  guntur soeharjanto umum umum,/images/no_cover.png
Tiga Manula Keliling Jawa,Benny Rachmadi,741.5,Penyiangan 2025-2,umum,umum,umum umum,tiga manula keliling jawa benny rachmadi umum umum,/images/no_cover.png
Seni Keterampilan Bubur Kertas,Suhendri Abu Faqih,745.5,Penyiangan 2025-2,umum,umum,umum umum,seni keterampilan bubur kertas suhendri abu faqih umum umum,/images/no_cover.png
Udah Putusin Aja!,Felix Y. Siauw,155.5,Penyiangan 2025-2,umum,umum,umum umum,udah putusin aja felix y siauw umum umum,/images/no_cover.png
Kumpulan Dongeng Asli Nusantara Terbaik Seluruh Provinsi,mahadewa Adi Seta,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,kumpulan dongeng asli nusantara terbaik seluruh provinsi mahadewa adi seta sosial politik umum,/images/no_cover.png
99 Inspirasi pagi untuk Setiap Muslim,Muhammad H. Bashori,297.51,Penyiangan 2025-2,agama,umum,agama umum, inspirasi pagi untuk setiap muslim muhammad h bashori agama umum,/images/no_cover.png
Aksesories flower Fill Populer,Lina Purnawanti,746,Penyiangan 2025-2,umum,umum,umum umum,aksesories flower fill populer lina purnawanti umum umum,/images/no_cover.png
Perlengkapan Bayi Imut & Lucu,Lina Purnawanti,745.5,Penyiangan 2025-2,umum,umum,umum umum,perlengkapan bayi imut  lucu lina purnawanti umum umum,/images/no_cover.png
Tomi si Tomat Aktor,"Ekawati M. Dukut, dkk.",FIK,Penyiangan 2025-2,umum,umum,umum umum,tomi si tomat aktor ekawati m dukut dkk umum umum,/images/no_cover.png
Panduan Lengkap Budi Daya & Bisnis Cacing Sutra,Ratih Setyawati,639.7,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan lengkap budi daya  bisnis cacing sutra ratih setyawati teknologi umum,/images/no_cover.png
Panduan Lengkap Budi Daya Ikan dan Sayuran dengan Sistem Akuaponik,Cahyo Saparinto,639.3,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan lengkap budi daya ikan dan sayuran dengan sistem akuaponik cahyo saparinto teknologi umum,/images/no_cover.png
Jahe,Cahyo Saparinto,633.8,Penyiangan 2025-2,teknologi,umum,teknologi umum,jahe cahyo saparinto teknologi umum,/images/no_cover.png
Babad Tanah Jawi,"Olthof,W.L",959.801,Penyiangan 2025-2,sejarah,umum,sejarah umum,babad tanah jawi olthofwl sejarah umum,/images/no_cover.png
99 Cahaya di Langit Eropa Part 2,Guntur Soeharjanto,741.5,Penyiangan 2025-2,umum,umum,umum umum, cahaya di langit eropa part  guntur soeharjanto umum umum,/images/no_cover.png
Tiga Manula Keliling Jawa,Benny Rachmadi,741.5,Penyiangan 2025-2,umum,umum,umum umum,tiga manula keliling jawa benny rachmadi umum umum,/images/no_cover.png
Seni Keterampilan Bubur Kertas,Suhendri Abu Faqih,745.5,Penyiangan 2025-2,umum,umum,umum umum,seni keterampilan bubur kertas suhendri abu faqih umum umum,/images/no_cover.png
Udah Putusin Aja!,Felix Y. Siauw,155.5,Penyiangan 2025-2,umum,umum,umum umum,udah putusin aja felix y siauw umum umum,/images/no_cover.png
Kumpulan Dongeng Asli Nusantara Terbaik Seluruh Provinsi,mahadewa Adi Seta,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,kumpulan dongeng asli nusantara terbaik seluruh provinsi mahadewa adi seta sosial politik umum,/images/no_cover.png
99 Inspirasi pagi untuk Setiap Muslim,Muhammad H. Bashori,297.51,Penyiangan 2025-2,agama,umum,agama umum, inspirasi pagi untuk setiap muslim muhammad h bashori agama umum,/images/no_cover.png
Aksesories flower Fill Populer,Lina Purnawanti,746,Penyiangan 2025-2,umum,umum,umum umum,aksesories flower fill populer lina purnawanti umum umum,/images/no_cover.png
Perlengkapan Bayi Imut & Lucu,Lina Purnawanti,745.5,Penyiangan 2025-2,umum,umum,umum umum,perlengkapan bayi imut  lucu lina purnawanti umum umum,/images/no_cover.png
Cantik dengan Aksesori dari Batik,Windyana Restanti,746,Penyiangan 2025-2,umum,umum,umum umum,cantik dengan aksesori dari batik windyana restanti umum umum,/images/no_cover.png
101 Kreasi Suvenir Pernikahan,Kiswandari Ratna Setyawati,745.5,Penyiangan 2025-2,umum,umum,umum umum, kreasi suvenir pernikahan kiswandari ratna setyawati umum umum,/images/no_cover.png
Panduan Lengkap Budi Daya Ikan dan Sayuran dengan Sistem Akuaponik,Cahyo Saparinto,639.3,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan lengkap budi daya ikan dan sayuran dengan sistem akuaponik cahyo saparinto teknologi umum,/images/no_cover.png
Belajar dari Kegagalan Bisnis Lele,Tim Penulis PS,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,belajar dari kegagalan bisnis lele tim penulis ps teknologi umum,/images/no_cover.png
Bung Karno Penyambung Lidah Rakyat Indonesia,"Adams, Cindy",923.1,Penyiangan 2025-2,sejarah,umum,sejarah umum,bung karno penyambung lidah rakyat indonesia adams cindy sejarah umum,/images/no_cover.png
Cerdas di Kelompok Bermain Berhitung Usia 3-4 Tahun,"Condrywati, dkk",372.21,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,cerdas di kelompok bermain berhitung usia  tahun condrywati dkk sosial politik umum,/images/no_cover.png
Habibie : Menikmati 50 Gagasan Brilian Sembari Mengenang Momen Kehidupan Eyang,Fachmy Casofa,923.1,Penyiangan 2025-2,sejarah,umum,sejarah umum,habibie  menikmati  gagasan brilian sembari mengenang momen kehidupan eyang fachmy casofa sejarah umum,/images/no_cover.png
Seni Keterampilan Bubur Kertas,Suhendri Abu Faqih,745.5,Penyiangan 2025-2,umum,umum,umum umum,seni keterampilan bubur kertas suhendri abu faqih umum umum,/images/no_cover.png
Bisnis Ikan Konsumsi di Lahan Sempit,Cahyo Saparinto,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,bisnis ikan konsumsi di lahan sempit cahyo saparinto teknologi umum,/images/no_cover.png
Sejarah ISIS & Illuminati,Ahmad Yanuana Samantho,320.956,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,sejarah isis  illuminati ahmad yanuana samantho sosial politik umum,/images/no_cover.png
Aksesories flower Fill Populer,Lina Purnawanti,746,Penyiangan 2025-2,umum,umum,umum umum,aksesories flower fill populer lina purnawanti umum umum,/images/no_cover.png
Perlengkapan Bayi Imut & Lucu,Lina Purnawanti,745.5,Penyiangan 2025-2,umum,umum,umum umum,perlengkapan bayi imut  lucu lina purnawanti umum umum,/images/no_cover.png
Cantik dengan Aksesori dari Batik,Windyana Restanti,746,Penyiangan 2025-2,umum,umum,umum umum,cantik dengan aksesori dari batik windyana restanti umum umum,/images/no_cover.png
101 Kreasi Suvenir Pernikahan,Kiswandari Ratna Setyawati,745.5,Penyiangan 2025-2,umum,umum,umum umum, kreasi suvenir pernikahan kiswandari ratna setyawati umum umum,/images/no_cover.png
Panduan Lengkap Budi Daya Ikan dan Sayuran dengan Sistem Akuaponik,Cahyo Saparinto,639.3,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan lengkap budi daya ikan dan sayuran dengan sistem akuaponik cahyo saparinto teknologi umum,/images/no_cover.png
Belajar dari Kegagalan Bisnis Lele,Tim Penulis PS,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,belajar dari kegagalan bisnis lele tim penulis ps teknologi umum,/images/no_cover.png
Bung Karno Penyambung Lidah Rakyat Indonesia,"Adams, Cindy",923.1,Penyiangan 2025-2,sejarah,umum,sejarah umum,bung karno penyambung lidah rakyat indonesia adams cindy sejarah umum,/images/no_cover.png
99 Cahaya di Langit Eropa,Guntur Soeharjanto,741.5,Penyiangan 2025-2,umum,umum,umum umum, cahaya di langit eropa guntur soeharjanto umum umum,/images/no_cover.png
"Beternak & Berbisnis Puyuh 3,5 Bulan Balik Modal",Slamet Wuryadi,636.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,beternak  berbisnis puyuh  bulan balik modal slamet wuryadi teknologi umum,/images/no_cover.png
6 Jurus Bertanam Cabai Bebas Hama dan Penyakit,Neni Rostini,635.6,Penyiangan 2025-2,teknologi,umum,teknologi umum, jurus bertanam cabai bebas hama dan penyakit neni rostini teknologi umum,/images/no_cover.png
Tangan di Atas Lebih Baik Daripada Tangan di Bawah : Menyelami Nikmatnya Bershadaqah,Wawan Susetya,297.425.1,Penyiangan 2025-2,agama,umum,agama umum,tangan di atas lebih baik daripada tangan di bawah  menyelami nikmatnya bershadaqah wawan susetya agama umum,/images/no_cover.png
Ketika Muslimah Bernafas dengan Doa,Umi Salamah,297.541,Penyiangan 2025-2,agama,umum,agama umum,ketika muslimah bernafas dengan doa umi salamah agama umum,/images/no_cover.png
